City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
527,bukoba,-1.3317,31.8122,293.46,84,74,1.96,TZ,1712895631
528,saraipali,21.3333,83.0,302.62,36,90,0.17,IN,1712895632
529,beau vallon,-20.4189,57.6953,300.49,80,59,3.7,MU,1712895378
530,verkhnevilyuysk,63.4453,120.3167,260.1,76,59,3.02,RU,1712895632
531,sassandra,4.95,-6.0833,298.09,87,100,1.11,CI,1712895632
532,sarov,54.9358,43.3235,280.9,79,18,2.89,RU,1712895633
533,yeraliyev,43.2,51.65,285.48,62,0,6.32,KZ,1712895633
534,panarukan,-7.7018,113.9184,303.44,69,51,3.05,ID,1712895633
535,padang,-0.9492,100.3543,305.18,82,37,3.33,ID,1712895633
536,udaipura,23.0833,78.5,304.35,31,93,2.06,IN,1712895634
537,dillon,34.4166,-79.3712,295.14,71,0,9.37,US,1712895634
538,gadzhiyevo,69.2551,33.3362,272.04,83,100,7.99,RU,1712895634
539,mugia,43.1041,-9.2179,285.88,74,12,1.48,ES,1712895634
540,farafenni,13.5667,-15.6,299.02,36,14,5.17,GM,1712895634
541,lichinga,-13.3128,35.2406,290.2,100,100,5.66,MZ,1712895635
542,tommot,58.9564,126.2925,272.48,88,100,4.32,RU,1712895635
543,placido de castro,-10.3353,-67.1856,295.99,99,100,1.27,BR,1712895635
544,orchard homes,46.8633,-114.0484,284.23,51,20,2.06,US,1712895498
545,ixmiquilpan,20.4833,-99.2333,285.72,67,20,2.66,MX,1712895635
546,saint-philippe,-21.3585,55.7679,300.92,83,85,0.74,RE,1712895637
547,jiagedaqi,50.4167,124.1167,288.74,43,100,2.89,CN,1712895637
548,port douglas,-16.4833,145.4667,300.46,66,59,5.71,AU,1712895637
549,ngong,-1.3618,36.6566,289.14,93,100,3.49,KE,1712895637
550,lazaro cardenas,17.9583,-102.2,296.71,83,7,0.87,MX,1712895637
551,saint-francois,46.4154,3.9054,279.07,100,0,1.54,FR,1712895638
552,la gi,10.6667,107.7833,305.41,56,38,9.41,VN,1712895638
553,xingcheng,40.6167,120.7167,290.51,61,59,10.07,CN,1712895638
554,howard springs,-12.497,131.047,304.25,74,97,4.81,AU,1712895638
555,kruisfontein,-34.0033,24.7314,285.31,70,7,3.41,ZA,1712895638
556,yarkovo,57.4028,67.0786,277.72,90,100,6.57,RU,1712895639
557,aracati,-4.5617,-37.7697,298.96,89,100,2.68,BR,1712895457
558,leer,53.2316,7.461,286.45,95,100,5.41,DE,1712895639
559,conceicao da barra,-18.5933,-39.7322,297.34,88,15,1.64,BR,1712895639
560,pacifica,37.6138,-122.4869,289.6,80,0,7.72,US,1712895639
561,shitanjing,39.2342,106.3439,291.82,21,66,5.89,CN,1712895640
562,north shore,-36.8,174.75,296.19,72,27,5.36,NZ,1712895640
563,kayangel,8.0823,134.7173,301.55,76,99,4.51,PW,1712895640
564,takaungu,-3.6837,39.8566,299.42,86,46,4.86,KE,1712895640
565,vinogradovo,56.9333,37.55,281.94,65,100,4.78,RU,1712895640
566,el nido,11.1858,119.3956,303.12,65,36,4.34,PH,1712895641
567,kristiansund,63.1115,7.732,280.51,65,43,2.06,NO,1712895641
568,sabha,27.0377,14.4283,293.32,17,11,8.85,LY,1712895641
569,arpacay,40.8487,43.3291,276.95,72,75,0.25,TR,1712895641
570,changling,44.2653,124.0005,295.34,36,85,11.34,CN,1712895641
571,ciudad lazaro cardenas,17.9583,-102.2,296.71,83,7,0.87,MX,1712895642
572,la passe,45.5549,-0.8967,283.7,93,9,3.2,FR,1712895642
573,plymouth,41.8334,-70.8328,289.05,95,100,3.6,US,1712895642
574,awjilah,29.1081,21.2869,290.05,35,0,3.05,LY,1712895642
